Name	Set	Imagefile	Copies	Type	Class/Encounter Set	Unique	Traits	Number	Script
Roland Banks The Fed	Core	AHC01_1a,AHC01_1b	1	Investigator	Guardian	*	Agency. Detective	1	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Roland Banks Mini Card	Core	AHC01_1mini,AHC01_1bmini	1	Investigator Mini Card					
Daisy Walker The Librarian	Core	AHC01_2a,AHC01_2b	1	Investigator	Seeker	*	Miskatonic.	2	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Daisy Walker Mini Card	Core	AHC01_2mini,AHC01_2bmini	1	Investigator Mini Card					
Skids OToole The Ex-Con	Core	AHC01_3a,AHC01_3b	1	Investigator	Rogue	*	Criminal.	3	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Skids OToole Mini Card	Core	AHC01_3mini,AHC01_3bmini	1	Investigator Mini Card					
Agnes Baker The Waitress	Core	AHC01_4a,AHC01_4b	1	Investigator	Mystic	*	Sorcerer	4	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Agnes Baker Mini Card	Core	AHC01_4mini,AHC01_4bmini	1	Investigator Mini Card					
Wendy Adams The Urchin	Core	AHC01_5a,AHC01_5b	1	Investigator	Survivor	*	Drifter.	5	<s><a>y</a><l>Initialise counters</l><f>/ccwhite=5</f></s>
Wendy Adams Mini Card	Core	AHC01_5mini,AHC01_5bmini	1	Investigator Mini Card					
Rolands 38 Special	Core	AHC01_6	1	Asset	Starter	*	Item. Weapon. Firearm.	6	
Cover Up	Core	AHC01_7	1	Treachery	Weakness		Task.	7	
Daisys Tote Bag	Core	AHC01_8	1	Asset	Starter	*	Item.	8	
The Necronomicon (John D. Translation)	Core	AHC01_9	1	Asset	Weakness		Item. Tome.	9	
On The Lam	Core	AHC01_10	1	Event	Starter		Tactic.	10	
Mine Entrance	TPW	TPW_034,TPW_034b	1	Location	The Pensher Wyrm
Mine 3	TPW	TPW_035,TPW_035b	1	Location	The Pensher Wyrm
Pensher Hill	TPW	TPW_036,TPW_036b	1	Location	The Pensher Wyrm
Wear River	TPW	TPW_037,TPW_037b	1	Location	The Pensher Wyrm
The Pensher Wyrm Chaos	TPW	TPW_038	1	Scenario	The Pensher Wyrm
Black Obsidian Statue	TPW	TPW_039	1	Asset	The Pensher Wyrm
Act 1- Undercover with Darkness	TLoB	TLoB_001,TLoB_001b	1	Act	The Limens of Belief
Act 2- Being Certain	TLoB	TLoB_002,TLoB_002b	1	Act	The Limens of Belief
Act 3- A Meeting at the Mausoleum	TLoB	TLoB_003,TLoB_003b	1	Act	The Limens of Belief
Act 4- The Pieces of the Puzzle	TLoB	TLoB_004,TLoB_004b	1	Act	The Limens of Belief
Act 5- Of Liminality	TLoB	TLoB_005,TLoB_005b	1	Act	The Limens of Belief
Lita Chandler (TLoB)	TLoB	TLoB_006,TLoB_006b	1	Investigator	The Limens of Belief
Lita Chandler Mini Card (TLoB)	TLoB	TLoB_006mini,TLoB_006bmini	1	Investigator Mini Card	The Limens of Belief
Agenda 1- Grim Consequence	TLoB	TLoB_007,TLoB_007b	1	Agenda	The Limens of Belief
Agenda 2- The Cover Peels Away	TLoB	TLoB_008,TLoB_008b	1	Agenda	The Limens of Belief
Agenda 3- The Ghouls Edge	TLoB	TLoB_009,TLoB_009b	1	Agenda	The Limens of Belief
Fierce Torch	TLoB	TLoB_010	1	Asset	The Limens of Belief
Burning Fervor	TLoB	TLoB_011	1	Weakness	The Limens of Belief
Professor Warren (TLoB)	TLoB	TLoB_012	1	Asset	The Limens of Belief
Mister Collins	TLoB	TLoB_013	1	Asset	The Limens of Belief
The House	TLoB	TLoB_014,TLoB_014b	1	Location	The Limens of Belief
Mausoleum	TLoB	TLoB_015,TLoB_015b	1	Location	The Limens of Belief
Attic (TLoB)	TLoB	TLoB_016,TLoB_016b	1	Location	The Limens of Belief
Parlor (TLoB)	TLoB	TLoB_017,TLoB_017b	1	Location	The Limens of Belief
Charred Phalange	TLoB	TLoB_018,TLoB_018b	1	Asset	The Limens of Belief
Malformed Beast	TLoB	TLoB_019,TLoB_019b	1	Asset	The Limens of Belief
Study Door	TLoB	TLoB_020,TLoB_020b	1	Asset	The Limens of Belief
The Limens of Belief Chaos	TLoB	TLoB_021,TLoB_021b	1	Scenario	The Limens of Belief
TLoB 1	TLoB	TLoB_022,TLoB_022b	1	Scenario	The Limens of Belief
TLoB 2	TLoB	TLoB_023,TLoB_023b	1	Scenario	The Limens of Belief
TLoB 3	TLoB	TLoB_024,TLoB_024b	1	Scenario	The Limens of Belief
TLoB 4	TLoB	TLoB_025,TLoB_025b	1	Scenario	The Limens of Belief
Act 1- Missing Persons	TGOH	TGOH1,TGOH2	1	Act	The Grand Oak Hotel
Act 2- Who Remembers	TGOH	TGOH3,TGOH4	1	Act	The Grand Oak Hotel
Act 3- The Janitor Remembers	TGOH	TGOH5,TGOH6	1	Act	The Grand Oak Hotel
Act 4- The Forgotten Room	TGOH	TGOH7,TGOH8	1	Act	The Grand Oak Hotel
Agenda 1- Still Air	TGOH	TGOH9,TGOH11	1	Agenda	The Grand Oak Hotel
Agenda 2- Missing Hours	TGOH	TGOH12,TGOH13	1	Agenda	The Grand Oak Hotel
Agenda 3- Why Are We Here?	TGOH	TGOH14,TGOH15	1	Agenda	The Grand Oak Hotel
Agenda 4- Empty Shells	TGOH	TGOH16,TGOH17	1	Agenda	The Grand Oak Hotel
The Grand Oak Chaos	TGOH	TGOH18,TGOH19	1	Scenario	The Grand Oak Hotel
Grand Oak Memento	TGOH	TGOH64	1	Asset	The Grand Oak Hotel
Boiler Room	TGOH	TGOH20,TGOH21	1	Location	The Grand Oak Hotel
The Missing Room	TGOH	TGOH22,TGOH23	1	Location	The Grand Oak Hotel
Workshop	TGOH	TGOH24,TGOH25	1	Location	The Grand Oak Hotel
Hotel Bar	TGOH	TGOH26,TGOH27	1	Location	The Grand Oak Hotel
Lobby	TGOH	TGOH28,TGOH29	1	Location	The Grand Oak Hotel
Managers Office	TGOH	TGOH30,TGOH31	1	Location	The Grand Oak Hotel
Hotel Room 1	TGOH	TGOH32,TGOH33	1	Location	The Grand Oak Hotel
Hotel Room 2	TGOH	TGOH32a,TGOH34	1	Location	The Grand Oak Hotel
Janitors Office	TGOH	TGOH35,TGOH36	1	Location	The Grand Oak Hotel
Storage Room	TGOH	TGOH37,TGOH38	1	Location	The Grand Oak Hotel
Lounge	TGOH	TGOH39,TGOH40	1	Location	The Grand Oak Hotel
Luxury Suite	TGOH	TGOH41,TGOH42	1	Location	The Grand Oak Hotel
Your Room 1	TGOH	TGOH43,TGOH44	1	Location	The Grand Oak Hotel
Your Room 2	TGOH	TGOH45,TGOH46	1	Location	The Grand Oak Hotel
Hotel Elevator	TGOH	TGOH47,TGOH48	1	Location	The Grand Oak Hotel
Confused Guest	TGOH	TGOH49	1	Enemy	The Grand Oak Hotel
The Lost Accountant	TGOH	TGOH50	1	Enemy	The Grand Oak Hotel
Thought Harvester	TGOH	TGOH51	1	Enemy	The Grand Oak Hotel
Whispering Remnant	TGOH	TGOH52	1	Enemy	The Grand Oak Hotel
Yill, Memory Feaster	TGOH	TGOH53	1	Enemy	The Grand Oak Hotel
The Grand Oak Hotel Setup 1	TGOH	TGOH54,TGOH55	1	Scenario	The Grand Oak Hotel
The Grand Oak Hotel Setup 2	TGOH	TGOH56,TGOH57	1	Scenario	The Grand Oak Hotel
The Grand Oak Hotel Setup 3	TGOH	TGOH58,TGOH59	1	Scenario	The Grand Oak Hotel
The Grand Oak Hotel Setup 4	TGOH	TGOH60,TGOH61	1	Scenario	The Grand Oak Hotel
The Grand Oak Hotel Setup 5	TGOH	TGOH62,TGOH63	1	Scenario	The Grand Oak Hotel
Becoming Nobody	TGOH	TGOH65	1	Treachery	The Grand Oak Hotel
How Did I Get Here	TGOH	TGOH66	1	Treachery	The Grand Oak Hotel
It Must Have Worked	TGOH	TGOH67	1	Treachery	The Grand Oak Hotel
Lost Time	TGOH	TGOH68	1	Treachery	The Grand Oak Hotel
Never Remember	TGOH	TGOH69	1	Treachery	The Grand Oak Hotel
What Hit Me	TGOH	TGOH70	1	Treachery	The Grand Oak Hotel
Who Are You	TGOH	TGOH71	1	Treachery	The Grand Oak Hotel
Loose Thoughts	TGOH	TGOH72	1	Treachery	The Grand Oak Hotel
William Hebb	TGOH	TGOH73	1	Asset	The Grand Oak Hotel
Out At Sea	AJoP_S1	AJoP_S1_001,AJoP_S1_001b	1	Act	The Disappearance of the RV Providence
Whirlpool	AJoP_S1	AJoP_S1_002,AJoP_S1_002b	1	Act	The Disappearance of the RV Providence
A Nightmare From the Depths	AJoP_S1	AJoP_S1_003,AJoP_S1_003b	1	Agenda	The Disappearance of the RV Providence
An Unwelcome Guest	AJoP_S1	AJoP_S1_004,AJoP_S1_004b	1	Agenda	The Disappearance of the RV Providence
Disconcerting Omens	AJoP_S1	AJoP_S1_005,AJoP_S1_005b	1	Agenda	The Disappearance of the RV Providence
Somethings Coming	AJoP_S1	AJoP_S1_006,AJoP_S1_006b	1	Agenda	The Disappearance of the RV Providence
Trouble on the Horizon	AJoP_S1	AJoP_S1_007,AJoP_S1_007b	1	Agenda	The Disappearance of the RV Providence
Adaptive Pathogens	AJoP_S1	AJoP_S1_008	1	Treachery	Alterations
Otherworldly Aura	AJoP_S1	AJoP_S1_009	2	Treachery	Alterations
Self-Mending	AJoP_S1	AJoP_S1_010	2	Treachery	Alterations
Tenacity	AJoP_S1	AJoP_S1_011	2	Treachery	Alterations
Bow	AJoP_S1	AJoP_S1_012b,AJoP_S1_012	1	Location	The Disappearance of the RV Providence
Cabin	AJoP_S1	AJoP_S1_013b,AJoP_S1_013	1	Location	The Disappearance of the RV Providence
Engines	AJoP_S1	AJoP_S1_014b,AJoP_S1_014	1	Location	The Disappearance of the RV Providence
Front Deck	AJoP_S1	AJoP_S1_015b,AJoP_S1_015	1	Location	The Disappearance of the RV Providence
Stern	AJoP_S1	AJoP_S1_016b,AJoP_S1_016	1	Location	The Disappearance of the RV Providence
Beyond Nature	AJoP_S1	AJoP_S1_017	2	Treachery	The Disappearance of the RV Providence
Sudden Waves	AJoP_S1	AJoP_S1_018	2	Treachery	The Disappearance of the RV Providence
Bloated Corpse	AJoP_S1	AJoP_S1_019	1	Enemy	The Disappearance of the RV Providence
Shark	AJoP_S1	AJoP_S1_020	1	Enemy	The Disappearance of the RV Providence
Unnatural Flock	AJoP_S1	AJoP_S1_021	1	Enemy	The Disappearance of the RV Providence
Being Watched	AJoP_S1	AJoP_S1_022	2	Treachery	Something From Beyond
Enervating Influence	AJoP_S1	AJoP_S1_023	2	Treachery	Something From Beyond
Otherworldly Observer	AJoP_S1	AJoP_S1_024	1	Enemy	Something From Beyond
Sun in Your Eyes	AJoP_S1	AJoP_S1_025	2	Treachery	Suns Gaze
Unforgiving Heat	AJoP_S1	AJoP_S1_026	2	Treachery	Suns Gaze
TDOTRVP Res	AJoP_S1	AJoP_S1_027,AJoP_S1_027b	1	Scenario	The Disappearance of the RV Providence
TDOTRVP Guide	AJoP_S1	AJoP_S1_028,AJoP_S1_028b	1	Scenario	The Disappearance of the RV Providence
Disappearance of the RV Providence	AJoP_S1	AJoP_S1_029,AJoP_S1_029b	1	Scenario	The Disappearance of the RV Providence
